pair_id,variant,plain_size,transformed_size,encrypt_ns,hash_ns,send_ns,send_ts_us
271,1,128,256,35288,0,3148,1763725854419596
272,0,128,0,0,0,3311,1763725854419861
272,1,128,256,33334,0,3133,1763725854419899
273,0,128,0,0,0,4137,1763725854420170
273,1,128,256,35317,0,3027,1763725854420210
274,0,128,0,0,0,3767,1763725854420475
274,1,128,256,36047,0,3127,1763725854420516
275,0,128,0,0,0,3656,1763725854420780
275,1,128,256,36252,0,3210,1763725854420822
276,0,128,0,0,0,3761,1763725854421086
276,1,128,256,36138,0,3138,1763725854421127
277,0,128,0,0,0,3531,1763725854421399
277,1,128,256,37279,0,3456,1763725854421441
278,0,128,0,0,0,3678,1763725854421707
278,1,128,256,37788,0,3322,1763725854421750
279,0,128,0,0,0,3903,1763725854421970
279,1,128,256,37855,0,3250,1763725854422013
280,0,128,0,0,0,3501,1763725854422278
280,1,128,256,37897,0,3297,1763725854422321
281,0,128,0,0,0,4011,1763725854422587
281,1,128,256,37880,0,3683,1763725854422630
282,0,128,0,0,0,4123,1763725854422903
282,1,128,256,37932,0,3412,1763725854422946
283,0,128,0,0,0,4013,1763725854423212
283,1,128,256,38910,0,3316,1763725854423257
284,0,128,0,0,0,4010,1763725854423522
284,1,128,256,39939,0,3469,1763725854423568
285,0,128,0,0,0,4038,1763725854423834
285,1,128,256,39679,0,4308,1763725854423880
286,0,128,0,0,0,3803,1763725854424146
286,1,128,256,39904,0,3483,1763725854424192
287,0,128,0,0,0,4097,1763725854424465
287,1,128,256,39677,0,3421,1763725854424510
288,0,128,0,0,0,3868,1763725854424776
288,1,128,256,41192,0,3497,1763725854424823
289,0,128,0,0,0,4103,1763725854425090
289,1,128,256,41884,0,3649,1763725854425138
290,0,128,0,0,0,4022,1763725854425404
290,1,128,256,41789,0,3500,1763725854425451
291,0,128,0,0,0,3908,1763725854425718
291,1,128,256,41681,0,3526,1763725854425766
292,0,128,0,0,0,3965,1763725854426041
292,1,128,256,41605,0,3691,1763725854426089
293,0,128,0,0,0,3828,1763725854426355
293,1,128,256,41647,0,3850,1763725854426402
294,0,128,0,0,0,4136,1763725854426669
294,1,128,256,43431,0,3730,1763725854426718
295,0,128,0,0,0,4717,1763725854426973
295,1,128,256,44252,0,3895,1763725854427024
296,0,128,0,0,0,4193,1763725854427291
296,1,128,256,44172,0,3733,1763725854427341
297,0,128,0,0,0,3874,1763725854427617
297,1,128,256,43961,0,3913,1763725854427667
298,0,128,0,0,0,4051,1763725854427935
298,1,128,256,53404,0,4758,1763725854427995
299,0,128,0,0,0,4938,1763725854428278
299,1,128,256,44728,0,3903,1763725854428329
300,0,128,0,0,0,4205,1763725854428597
300,1,128,256,44286,0,4059,1763725854428647
301,0,128,0,0,0,5118,1763725854428916
301,1,128,256,47727,0,3974,1763725854428970
302,0,128,0,0,0,4635,1763725854429247
302,1,128,256,44246,0,3764,1763725854429297
303,0,128,0,0,0,4430,1763725854429566
303,1,128,256,44246,0,3738,1763725854429616
